Wellington Hutt Valley combined,Wellington Hutt Valley 1,Wellington Hutt Valley 2,Wellington Hutt Valley 3,Wellington Hutt Valley 4,Wellington Hutt Valley 5,
Alpine combined,Alpine Jacksons to Kaniere,Alpine Kaniere to Springs Junction,Alpine Springs Junction to Tophouse,Wairau,Wairau 2,Wairau 3
Awatere Vernon combined,Awatere Northeast 1,Vernon 1,Vernon 2,Vernon 3,Vernon 4
Clarence combined,Clarence Central,Clarence Northeast,Clarence Southwest
Dry River - Huangarua combined,Dry River - Huangarua 2,Dry River - Huangarua 3
Fisherman combined,Fisherman 1,Fisherman 2
Waimea combined,Flaxmore - Waimea - Tahunanui,Waimea Offshore
Te Rapa combined,Hope Te Rapa,Te Rapa 1,Te Rapa 2
Hope  combined,Hope Conway,Hope Hanmer SE,Hope Hanmer SW,Hope Seaward,Hope Hope River,Hope Hurunui,Hope Kakapo-2-Hamner,Kelly
Jordan Kekerengu Needles combined,Jordan,Kekerengu 1,Needles
Cloudy combined,Cloudy 1,Cloudy 2,Cloudy 3
Ohariu combined,Ohariu South 1,Ohariu South 2,Ohariu
Pukerua - Shepherds Gully combined,Pukerua - Shepherds Gully 1,Pukerua - Shepherds Gully 2,Pukerua - Shepherds Gully 3
Wairarapa combined,Wairarapa 1,Wairarapa 2,Wairarapa Needles
Pahaua combined,Pahaua,Kekerengu Bank
Wellington Tararua combined, Wellington Tararua 1, Wellington Tararua 2